"Class","TSI Status","Enrolled Post Secondary Fall","HB3 Verifier Status","Eco Dis","Non Eco Dis","Special Needs","Eco Dis Status","Military Service Confirmed","Earned Associate Degree"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2024","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","Verified","1","0","0","Eco-Dis","Confirmed","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2024","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2025","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","0","1","0","Non Eco-Dis","","0"
"2024","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2025","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2024","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","Intent","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","0","1","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2024","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Not Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","1","Special Needs","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Approaches","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","Intent","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","1","Special Needs","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","0","1","0","Non Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Not Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","0","1","0","Non Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Met","Met","Verified","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
"2023","Approaches","Met","","1","0","0","Eco-Dis","","0"
"2023","Not Met","Met","","1","0","0","Eco-Dis","","0"
